Epoch: [0][0/789]	Time 0.615 (0.615)	Data 0.428 (0.428)	reconst_logp -14670.1211 (-14670.1211)	kl 2643.9365 (2643.9365)	Loss 14696.5605 (14696.5605)
Epoch: [0][10/789]	Time 0.271 (0.317)	Data 0.000 (0.039)	reconst_logp -10313.3740 (-12487.5390)	kl 917.2881 (733841339035.4344)	Loss 10322.5469 (7338425195.4604)
Epoch: [0][20/789]	Time 0.268 (0.293)	Data 0.000 (0.020)	reconst_logp -7677.2515 (-10881.7945)	kl 1438.9121 (384393083606.2971)	Loss 7691.6406 (3843941360.3927)
Epoch: [0][30/789]	Time 0.269 (0.285)	Data 0.000 (0.014)	reconst_logp -5625.5410 (-9527.4319)	kl 1708.8888 (260395315259.0037)	Loss 5642.6299 (2603962437.8684)
Epoch: [0][40/789]	Time 0.266 (0.281)	Data 0.000 (0.011)	reconst_logp -4207.9219 (-8386.4692)	kl 1492.6992 (196884263265.9526)	Loss 4222.8486 (1968850836.0370)
Epoch: [0][50/789]	Time 0.270 (0.279)	Data 0.000 (0.008)	reconst_logp -3136.6863 (-7451.7620)	kl 1534.7019 (158279506192.5594)	Loss 3152.0332 (1582802366.4962)
Epoch: [0][60/789]	Time 0.270 (0.277)	Data 0.000 (0.007)	reconst_logp -2558.2405 (-6708.3476)	kl 1548.5538 (132332046412.1083)	Loss 2573.7261 (1323327049.4070)
Epoch: [0][70/789]	Time 0.270 (0.276)	Data 0.000 (0.006)	reconst_logp -2151.6777 (-6090.3590)	kl 2211.1521 (113693730241.1493)	Loss 2173.7893 (1136943287.0415)
Epoch: [0][80/789]	Time 0.267 (0.275)	Data 0.000 (0.005)	reconst_logp -1967.0348 (-5592.9906)	kl 75355.3438 (99657468339.5682)	Loss 2720.5881 (996580183.7102)
Epoch: [0][90/789]	Time 0.271 (0.275)	Data 0.000 (0.005)	reconst_logp -1547.4811 (-5167.9790)	kl 1314.8741 (88706098390.4286)	Loss 1560.6298 (887066069.3914)
Epoch: [0][100/789]	Time 0.270 (0.274)	Data 0.000 (0.004)	reconst_logp -1494.7003 (-4806.9487)	kl 1442.6583 (79923316594.2325)	Loss 1509.1270 (799237898.5667)
Epoch: [0][110/789]	Time 0.271 (0.274)	Data 0.000 (0.004)	reconst_logp -1462.5687 (-4515.9481)	kl 1476.5984 (72723017933.9833)	Loss 1477.3347 (727234627.6594)
Epoch: [0][120/789]	Time 0.270 (0.274)	Data 0.000 (0.004)	reconst_logp -1222.9672 (-4253.4632)	kl 1479.2760 (66712851285.0770)	Loss 1237.7599 (667132704.2747)
